"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"NODE","POINT(126.91754955467907 37.579210579399344)","149878","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.93081151241674 37.57809403929651)","80898","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.91745646181533 37.57910851810793)","149877","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.92931447612163 37.57219860154283)","184780","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.91343333195887 37.58225824635725)","149722","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.91415802937163 37.58394410233871)","149694","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.9316054197436 37.55716202032661,126.93142807638667 37.556796373510814)","155517","1000","63448","27493","43.5030","1141000000","서대문구","1144012100","동교동"
"NODE","POINT(126.93630005265283 37.580443557986385)","81989","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.93599064785147 37.57909316134114)","81996","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.9241423319984 37.58420504377193)","158654","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.92979836790721 37.57129263349515)","184783","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.91522392999046 37.58550487795473)","149681","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.94360170157134 37.562717960711915)","162272","0","","0","","","","","1141000000","서대문구","1141011300","대신동"
"LINK","","0","","LINESTRING(126.90972794696307 37.57769345839318,126.9096112239566 37.5778741806143)","64566","1000","183745","183746","22.5530","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.94744197449552 37.59316637128077,126.94762846907477 37.59309691144446)","59988","1000","170197","170224","18.1850","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.93252067253596 37.56868301052487)","58770","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.91047771037798 37.57424006428964)","150225","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.93139299974989 37.56936891908332)","58779","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"NODE","POINT(126.93158840854127 37.56947888183203)","58780","0","","0","","","","","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.96371929910596 37.564428523593804,126.96377682244018 37.5643781935874)","75125","1000","77976","77969","7.5520","1141000000","서대문구","1141010100","충정로2가"
"NODE","POINT(126.9097510296226 37.577874287579846)","183742","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
